"id","description","document_suggestions__001","document_suggestions__002","document_suggestions__003","validation"
"49","Breach of rental agreement terms","Rental agreements","Emails","Witness statements","These documents are essential to prove your case strong."
"50","Fraud involving fake job offers","Emails","Job offer letters","Bank statements","These documents are essential to prove your case strong."
"51","Accusation of plagiarism in academic work","Original documents","Emails","Witness statements","These documents are essential to prove your case strong."
"52","Dispute regarding family business inheritance","Business registration documents","Property deeds","Legal notices","These documents are essential to prove your case strong."
"53","Claim for compensation after natural disaster","Insurance policies","Photographs","Official letters","These documents are essential to prove your case strong."
"54","Cybersecurity breach involving data theft","Emails","System logs","Official letters","These documents are essential to prove your case strong."
"55","Wrongful imprisonment claim","Police reports","Witness statements","Affidavits","These documents are essential to prove your case strong."
"56","Legal battle over child support payments","Bank statements","Custody agreements","Official letters","These documents are essential to prove your case strong."
"57","Accusation of fraudulent insurance claim","Insurance policies","Medical reports","Police reports","These documents are essential to prove your case strong."
"58","Dispute over ownership of intellectual property","Intellectual property registration","Contracts","Official letters","These documents are essential to prove your case strong."
"59","Claim for property damage from natural disaster","Insurance policies","Photographs","Witness statements","These documents are essential to prove your case strong."
"60","Accusation of workplace safety violations","Workplace safety records","Photographs","Witness statements","These documents are essential to prove your case strong."
"61","Alleged violation of trade secrets","Non-disclosure agreements","Emails","Official letters","These documents are essential to prove your case strong."
"62","Case involving cyberstalking","Social media records","Emails","Police reports","These documents are essential to prove your case strong."
"63","Breach of privacy in medical records","Medical records","Official letters","Witness statements","These documents are essential to prove your case strong."
"64","Contractor dispute over building construction","Building permits","Contracts","Witness statements","These documents are essential to prove your case strong."
"65","Dispute over estate planning and will execution","Will documents","Official letters","Legal notices","These documents are essential to prove your case strong."
"66","Defamation on public media platforms","Publication copies","Witness statements","Affidavits","These documents are essential to prove your case strong."
"67","Accusation of property theft","Police reports","Witness statements","Video evidence","These documents are essential to prove your case strong."
"68","Breach of freelance work contract","Work contracts","Emails","Bank statements","These documents are essential to prove your case strong."
"69","Harassment claim involving cyberbullying","Social media posts","Emails","Witness statements","These documents are essential to prove your case strong."
"70","Landlord eviction without notice","Rental agreements","Legal notices","Witness statements","These documents are essential to prove your case strong."
"71","Claim for compensation in medical injury","Medical reports","Witness statements","Expert witness reports","These documents are essential to prove your case strong."
"72","Dispute in a dissolved business partnership","Partnership agreement","Bank statements","Emails","These documents are essential to prove your case strong."
"73","Unlawful repossession of vehicle","Bank statements","Vehicle purchase documents","Witness statements","These documents are essential to prove your case strong."
"74","Claim for damage caused by pollution","Environmental reports","Photographs","Expert witness reports","These documents are essential to prove your case strong."
"75","Dispute over price manipulation in trading","Bank statements","Emails","Market analysis reports","These documents are essential to prove your case strong."
"76","Employment discrimination based on gender","Emails","Witness statements","Official letters","These documents are essential to prove your case strong."
"77","Dispute over terms of a financial loan","Loan agreements","Bank statements","Official letters","These documents are essential to prove your case strong."
"78","Accusation of fraudulent scientific research","Research reports","Emails","Witness statements","These documents are essential to prove your case strong."
"79","Claim of unpaid child support","Bank statements","Custody agreements","Legal notices","These documents are essential to prove your case strong."
"80","Dispute over real estate commission fees","Real estate contracts","Emails","Official letters","These documents are essential to prove your case strong."
"81","Lawsuit over fraudulent land acquisition","Property deeds","Witness statements","Affidavits","These documents are essential to prove your case strong."
"82","Accusation of data privacy breach","Data privacy policies","Emails","Witness statements","These documents are essential to prove your case strong."
"83","Allegation of embezzlement in corporate funds","Bank statements","Financial audits","Official letters","These documents are essential to prove your case strong."
"84","Dispute over violation of building codes","Building permits","Photographs","Official letters","These documents are essential to prove your case strong."
"85","Claim of illegal workplace termination","Employment contract","Emails","Witness statements","These documents are essential to prove your case strong."
"86","Complaint of noise pollution violation","Environmental reports","Witness statements","Official letters","These documents are essential to prove your case strong."
"87","Lawsuit involving loss from counterfeit products","Purchase receipts","Product photographs","Witness statements","These documents are essential to prove your case strong."
"88","Defamation lawsuit due to false accusations","Publication copies","Emails","Witness statements","These documents are essential to prove your case strong."
"89","Unlawful seizure of assets","Bank statements","Official letters","Witness statements","These documents are essential to prove your case strong."
"90","Case involving damage to rented property","Rental agreement","Photographs","Witness statements","These documents are essential to prove your case strong."
"91","Claim of fraudulent business scheme","Contracts","Emails","Official letters","These documents are essential to prove your case strong."
"92","Complaint of unpaid employee bonuses","Employment contract","Emails","Bank statements","These documents are essential to prove your case strong."
"93","Dispute over travel insurance claims","Insurance policies","Photographs","Official letters","These documents are essential to prove your case strong."
"94","Breach of contract in supply chain","Contracts","Emails","Invoices","These documents are essential to prove your case strong."
"95","Claims of infringement in patent dispute","Patent documents","Official letters","Emails","These documents are essential to prove your case strong."
"96","Breach of fiduciary duties by trustee","Trust documents","Bank statements","Official letters","These documents are essential to prove your case strong."
"97","Employer accused of racial discrimination","Emails","Witness statements","Official letters","These documents are essential to prove your case strong."
"98","Illegal sale of inherited property","Property deeds","Legal notices","Official letters","These documents are essential to prove your case strong."
"99","Dispute over unauthorized bank withdrawals","Bank statements","Witness statements","Police reports","These documents are essential to prove your case strong."
"100","Allegation of unauthorized business transactions","Contracts","Bank statements","Emails","These documents are essential to prove your case strong."
